1.0,26.0,39.0,36.0,35.0,31.0,28.0,25.0,20.0,19.0,56.0,50.0,48.0,35.0,25.0,12.0,4.0,2.0,11.0,0.51,0.41,0.39,0.37,0.35,0.3,0.37,0.47,0.78,0.2,0.15,0.13,0.12,0.11,0.06,0.1,0.13,0.26,0.9,0.6,0.5,1.7,1.8,1.5,1.9,2.2,6.6,16.0,9.2,8.2,6.9,6.8,3.8,6.9,7.8,15.0,17.0,9.8,8.7,8.6,8.5,5.3,8.8,9.9,22.0,16.0,30.0,27.0,23.0,24.0,28.0,24.0,22.0,21.0,77.0,68.0,67.0,74.0,72.0,73.0,74.0,73.0,66.0,1.8,2.0,1.7,1.6,1.9,1.4,1.5,1.6,5.1
1.0,39.0,36.0,35.0,31.0,28.0,25.0,20.0,19.0,30.0,50.0,48.0,35.0,25.0,12.0,4.0,2.0,11.0,38.0,0.41,0.39,0.37,0.35,0.3,0.37,0.47,0.78,0.74,0.15,0.13,0.12,0.11,0.06,0.1,0.13,0.26,0.23,0.6,0.5,1.7,1.8,1.5,1.9,2.2,6.6,7.9,9.2,8.2,6.9,6.8,3.8,6.9,7.8,15.0,21.0,9.8,8.7,8.6,8.5,5.3,8.8,9.9,22.0,29.0,30.0,27.0,23.0,24.0,28.0,24.0,22.0,21.0,29.0,68.0,67.0,74.0,72.0,73.0,74.0,73.0,66.0,56.0,2.0,1.7,1.6,1.9,1.4,1.5,1.6,5.1,15.0
1.0,36.0,35.0,31.0,28.0,25.0,20.0,19.0,30.0,41.0,48.0,35.0,25.0,12.0,4.0,2.0,11.0,38.0,56.0,0.39,0.37,0.35,0.3,0.37,0.47,0.78,0.74,0.59,0.13,0.12,0.11,0.06,0.1,0.13,0.26,0.23,0.2,0.5,1.7,1.8,1.5,1.9,2.2,6.6,7.9,4.2,8.2,6.9,6.8,3.8,6.9,7.8,15.0,21.0,14.0,8.7,8.6,8.5,5.3,8.8,9.9,22.0,29.0,18.0,27.0,23.0,24.0,28.0,24.0,22.0,21.0,29.0,44.0,67.0,74.0,72.0,73.0,74.0,73.0,66.0,56.0,45.0,1.7,1.6,1.9,1.4,1.5,1.6,5.1,15.0,4.5
1.0,35.0,31.0,28.0,25.0,20.0,19.0,30.0,41.0,44.0,35.0,25.0,12.0,4.0,2.0,11.0,38.0,56.0,64.0,0.37,0.35,0.3,0.37,0.47,0.78,0.74,0.59,0.52,0.12,0.11,0.06,0.1,0.13,0.26,0.23,0.2,0.18,1.7,1.8,1.5,1.9,2.2,6.6,7.9,4.2,2.9,6.9,6.8,3.8,6.9,7.8,15.0,21.0,14.0,11.0,8.6,8.5,5.3,8.8,9.9,22.0,29.0,18.0,14.0,23.0,24.0,28.0,24.0,22.0,21.0,29.0,44.0,58.0,74.0,72.0,73.0,74.0,73.0,66.0,56.0,45.0,37.0,1.6,1.9,1.4,1.5,1.6,5.1,15.0,4.5,2.7
1.0,31.0,28.0,25.0,20.0,19.0,30.0,41.0,44.0,33.0,25.0,12.0,4.0,2.0,11.0,38.0,56.0,64.0,56.0,0.35,0.3,0.37,0.47,0.78,0.74,0.59,0.52,0.41,0.11,0.06,0.1,0.13,0.26,0.23,0.2,0.18,0.12,1.8,1.5,1.9,2.2,6.6,7.9,4.2,2.9,3.4,6.8,3.8,6.9,7.8,15.0,21.0,14.0,11.0,14.0,8.5,5.3,8.8,9.9,22.0,29.0,18.0,14.0,17.0,24.0,28.0,24.0,22.0,21.0,29.0,44.0,58.0,50.0,72.0,73.0,74.0,73.0,66.0,56.0,45.0,37.0,40.0,1.9,1.4,1.5,1.6,5.1,15.0,4.5,2.7,3.5
1.0,28.0,25.0,20.0,19.0,30.0,41.0,44.0,33.0,37.0,12.0,4.0,2.0,11.0,38.0,56.0,64.0,56.0,57.0,0.3,0.37,0.47,0.78,0.74,0.59,0.52,0.41,0.4,0.06,0.1,0.13,0.26,0.23,0.2,0.18,0.12,0.11,1.5,1.9,2.2,6.6,7.9,4.2,2.9,3.4,3.0,3.8,6.9,7.8,15.0,21.0,14.0,11.0,14.0,12.0,5.3,8.8,9.9,22.0,29.0,18.0,14.0,17.0,15.0,28.0,24.0,22.0,21.0,29.0,44.0,58.0,50.0,57.0,73.0,74.0,73.0,66.0,56.0,45.0,37.0,40.0,42.0,1.4,1.5,1.6,5.1,15.0,4.5,2.7,3.5,3.6
1.0,25.0,20.0,19.0,30.0,41.0,44.0,33.0,37.0,36.0,4.0,2.0,11.0,38.0,56.0,64.0,56.0,57.0,52.0,0.37,0.47,0.78,0.74,0.59,0.52,0.41,0.4,0.37,0.1,0.13,0.26,0.23,0.2,0.18,0.12,0.11,0.1,1.9,2.2,6.6,7.9,4.2,2.9,3.4,3.0,2.5,6.9,7.8,15.0,21.0,14.0,11.0,14.0,12.0,11.0,8.8,9.9,22.0,29.0,18.0,14.0,17.0,15.0,14.0,24.0,22.0,21.0,29.0,44.0,58.0,50.0,57.0,65.0,74.0,73.0,66.0,56.0,45.0,37.0,40.0,42.0,47.0,1.5,1.6,5.1,15.0,4.5,2.7,3.5,3.6,3.9
1.0,20.0,19.0,30.0,41.0,44.0,33.0,37.0,36.0,45.0,2.0,11.0,38.0,56.0,64.0,56.0,57.0,52.0,51.0,0.47,0.78,0.74,0.59,0.52,0.41,0.4,0.37,0.37,0.13,0.26,0.23,0.2,0.18,0.12,0.11,0.1,0.13,2.2,6.6,7.9,4.2,2.9,3.4,3.0,2.5,2.2,7.8,15.0,21.0,14.0,11.0,14.0,12.0,11.0,11.0,9.9,22.0,29.0,18.0,14.0,17.0,15.0,14.0,13.0,22.0,21.0,29.0,44.0,58.0,50.0,57.0,65.0,64.0,73.0,66.0,56.0,45.0,37.0,40.0,42.0,47.0,49.0,1.6,5.1,15.0,4.5,2.7,3.5,3.6,3.9,4.4
1.0,19.0,30.0,41.0,44.0,33.0,37.0,36.0,45.0,42.0,11.0,38.0,56.0,64.0,56.0,57.0,52.0,51.0,66.0,0.78,0.74,0.59,0.52,0.41,0.4,0.37,0.37,0.47,0.26,0.23,0.2,0.18,0.12,0.11,0.1,0.13,0.14,6.6,7.9,4.2,2.9,3.4,3.0,2.5,2.2,2.5,15.0,21.0,14.0,11.0,14.0,12.0,11.0,11.0,22.0,22.0,29.0,18.0,14.0,17.0,15.0,14.0,13.0,25.0,21.0,29.0,44.0,58.0,50.0,57.0,65.0,64.0,51.0,66.0,56.0,45.0,37.0,40.0,42.0,47.0,49.0,56.0,5.1,15.0,4.5,2.7,3.5,3.6,3.9,4.4,9.9
1.0,30.0,41.0,44.0,33.0,37.0,36.0,45.0,42.0,49.0,38.0,56.0,64.0,56.0,57.0,52.0,51.0,66.0,85.0,0.74,0.59,0.52,0.41,0.4,0.37,0.37,0.47,0.69,0.23,0.2,0.18,0.12,0.11,0.1,0.13,0.14,0.23,7.9,4.2,2.9,3.4,3.0,2.5,2.2,2.5,2.3,21.0,14.0,11.0,14.0,12.0,11.0,11.0,22.0,28.0,29.0,18.0,14.0,17.0,15.0,14.0,13.0,25.0,30.0,29.0,44.0,58.0,50.0,57.0,65.0,64.0,51.0,34.0,56.0,45.0,37.0,40.0,42.0,47.0,49.0,56.0,67.0,15.0,4.5,2.7,3.5,3.6,3.9,4.4,9.9,5.1
